no,name,price,asset_url,link
1,Air Jordan 1 Low SE Phantom Denim Swoosh Authentic,Rp1.899.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/trueogkicks/air-jordan-1-low-se-phantom-denim-swoosh-authentic-gs-37-5-87e7c?extParam=ivf%3Dtrue%26keyword%3Dair+jordan&src=topads
2,Air Jordan 1 Low Paris Authentic - 45,Rp1.999.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/trueogkicks/air-jordan-1-low-paris-authentic-45-3660b?extParam=ivf%3Dfalse%26keyword%3Dair+jordan&src=topads
3,Air Jordan 1 Retro Low OG Black Cement (W),Rp954.366,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/hypequartersbykickavenue/air-jordan-1-retro-low-og-black-cement-w-1730911297009255432?extParam=ivf%3Dfalse%26keyword%3Dair+jordan&src=topads
4,Air Jordan 1 Low OG Travis Scott Medium Olive Authentic - 38,Rp10.529.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/trueogkicks/air-jordan-1-low-og-travis-scott-medium-olive-authentic-38-1c387?extParam=ivf%3Dtrue%26keyword%3Dair+jordan&src=topads
5,Nike Air Jordan 1 Low Panda (W) 100% Original,Rp1.999.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/trueogkicks/nike-air-jordan-1-low-panda-w-100-original-37-5?extParam=ivf%3Dtrue%26keyword%3Dair+jordan&src=topads
6,Air Jordan Anti Crease Wrinkle Kerut Sneakers Shoe Shield Basket Besar,Rp9.500,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/connoish/air-jordan-anti-crease-wrinkle-kerut-sneakers-shoe-shield-basket-besar-putih-small-kecil?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430032624B1CB1720A014DE295NIY%26src%3Dsearch
7,Nike Air Jordan Rise Cap Metal Logo Black FD5186-010 Topi Original,Rp499.004,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/cekidotgan/nike-air-jordan-rise-cap-metal-logo-black-fd5186-010-topi-original-s-m-74f11?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430032624B1CB1720A014DE295NIY%26src%3Dsearch
8,Kaos Kaki AJ Air Jordan dry fit medium cutting tebal,Rp34.500,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/beststuffjkt/kaos-kaki-aj-air-jordan-dry-fit-medium-cutting-tebal-abu-abu-1-pair?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430032624B1CB1720A014DE295NIY%26src%3Dsearch
9,AIR JORDAN ANTI CREASE SHIELDS universal sneaker Shields Anti crease,Rp5.950,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/snekearsarw/air-jordan-anti-crease-shields-universal-sneaker-shields-anti-crease-kecil-putih?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430032624B1CB1720A014DE295NIY%26src%3Dsearch
10,Airpods pro case air jordan,Rp28.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/cnfemporium/airpods-pro-case-air-jordan-merah-airpods-1-2?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430032624B1CB1720A014DE295NIY%26src%3Dsearch
11,Air Jordan 1 Low OG Mocha Authentic,Rp2.479.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/trueogkicks/air-jordan-1-low-og-mocha-authentic-gs-38-5-1d5e9?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430032624B1CB1720A014DE295NIY%26src%3Dsearch
12,Anti Crease Shield Air Jordan - Sneakers shield | Pelindung Sepatu,Rp15.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/fresclean/anti-crease-shield-air-jordan-sneakers-shield-pelindung-sepatu-m-40-46?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430032624B1CB1720A014DE295NIY%26src%3Dsearch
13,Air Jordan 5 Black Metallic Reimagined 100% Original,Rp3.099.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/variantid-1/air-jordan-5-black-metallic-reimagined-100-original-1730881934501774531?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430032624B1CB1720A014DE295NIY%26src%3Dsearch
