no,name,price,asset_url,link,store_id,location,store_name,rating
1,Air Jordan 1 Low SE Phantom Denim Swoosh Authentic,Rp1.899.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/4/5/3a45335c-71d8-4fb9-8b27-5ce105cce067.jpg.webp?ect=4g,https://www.tokopedia.com/trueogkicks/air-jordan-1-low-se-phantom-denim-swoosh-authentic-gs-37-5-87e7c?extParam=ivf%3Dtrue%26keyword%3Dair+jordan&src=topads,trueogkicks,Kab. Tangerang,True OG Kicks,0
2,Air Jordan 1 Low Paris Authentic,Rp1.999.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/21/329a3ae3-f7e0-4b10-b175-4454cd73a072.jpg.webp?ect=4g,https://www.tokopedia.com/trueogkicks/air-jordan-1-low-paris-authentic-45-3660b?extParam=ivf%3Dfalse%26keyword%3Dair+jordan&src=topads,trueogkicks,Kab. Tangerang,True OG Kicks,0
3,Air Jordan 1 Low SE Craft Dark Smoke Grey Authentic,Rp3.000.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/4/3/87ab3ac0-7716-4610-8eaf-a421c69107e8.jpg.webp?ect=4g,https://www.tokopedia.com/trueogkicks/air-jordan-1-low-se-craft-dark-smoke-grey-authentic-40-80a13?extParam=ivf%3Dfalse%26keyword%3Dair+jordan&src=topads,trueogkicks,Kab. Tangerang,True OG Kicks,0
4,Nike Air Jordan 1 Low Panda (W) 100% Original,Rp1.999.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/30/26ce0f53-4cc0-495b-854b-9cc8d4e91e06.png.webp?ect=4g,https://www.tokopedia.com/trueogkicks/nike-air-jordan-1-low-panda-w-100-original-37-5?extParam=ivf%3Dtrue%26keyword%3Dair+jordan&src=topads,trueogkicks,Kab. Tangerang,True OG Kicks,0
5,Nike Air Jordan 1 Low OG Zion Sneakers Shoes,Rp750.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/15/61dc1017-68b3-4a9f-99a1-cf3cce0d143b.jpg.webp?ect=4g,https://www.tokopedia.com/wzstoreid29/nike-air-jordan-1-low-og-zion-sneakers-shoes-1730868612169434570?extParam=ivf%3Dfalse%26keyword%3Dair+jordan&src=topads,wzstoreid29,Jakarta Selatan,WZ_Store.id,0
6,Air Jordan Anti Crease Wrinkle Kerut Sneakers Shoe Shield Basket Besar,Rp9.500,https://images.tokopedia.net/img/cache/200-square/product-1/2020/4/24/1123022/1123022_a95764bb-ba69-48be-a33d-b6c215c0f649_750_750.webp?ect=4g,https://www.tokopedia.com/connoish/air-jordan-anti-crease-wrinkle-kerut-sneakers-shoe-shield-basket-besar-putih-small-kecil?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430065845128D5CAE00320212EP2D%26src%3Dsearch,connoish,Tangerang Selatan,Connoish,4.9
7,Nike Air Jordan Rise Cap Metal Logo Black FD5186-010 Topi Original,Rp499.004,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2025/2/24/5c5c2174-d924-4065-b209-36b10267c9fb.jpg.webp?ect=4g,https://www.tokopedia.com/cekidotgan/nike-air-jordan-rise-cap-metal-logo-black-fd5186-010-topi-original-s-m-74f11?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430065845128D5CAE00320212EP2D%26src%3Dsearch,cekidotgan,Jakarta Barat,CekidotGan,5.0
8,Kaos Kaki AJ Air Jordan dry fit medium cutting tebal,Rp34.500,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2024/7/21/80ee3b27-c574-48a7-9fe9-66f18bfa69f8.jpg.webp?ect=4g,https://www.tokopedia.com/beststuffjkt/kaos-kaki-aj-air-jordan-dry-fit-medium-cutting-tebal-abu-abu-1-pair?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430065845128D5CAE00320212EP2D%26src%3Dsearch,beststuffjkt,Jakarta Utara,beststuffjkt,4.9
9,AIR JORDAN ANTI CREASE SHIELDS universal sneaker Shields Anti crease,Rp5.950,https://images.tokopedia.net/img/cache/200-square/product-1/2020/2/26/6677566/6677566_3668e89a-ad4f-4534-bd2c-93be9dcc75eb_1000_1000.jpg.webp?ect=4g,https://www.tokopedia.com/snekearsarw/air-jordan-anti-crease-shields-universal-sneaker-shields-anti-crease-kecil-putih?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430065845128D5CAE00320212EP2D%26src%3Dsearch,snekearsarw,Kab. Bekasi,SNEAKERS ARW ORIGINAL,4.9
10,Airpods pro case air jordan,Rp28.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/20/43f5a1e9-f88e-4091-b1b8-599364de0a68.jpg.webp?ect=4g,https://www.tokopedia.com/cnfemporium/airpods-pro-case-air-jordan-merah-airpods-1-2?extParam=ivf%3Dfalse%26keyword%3Dair+jordan%26search_id%3D20250430065845128D5CAE00320212EP2D%26src%3Dsearch,cnfemporium,Jakarta Barat,Case & Figure Emporium,4.6
11,Air Jordan 1 Low OG Travis Scott Medium Olive Authentic,Rp10.529.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/21/42363e72-8da3-487c-b1e5-83b8f2b7e035.jpg.webp?ect=4g,https://www.tokopedia.com/trueogkicks/air-jordan-1-low-og-travis-scott-medium-olive-authentic-38-1c387?extParam=ivf%3Dtrue%26keyword%3Dair+jordan&src=topads,trueogkicks,Kab. Tangerang,True OG Kicks,0
12,Air Jordan 1 Retro High OG Bred Toe Authentic,Rp1.799.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/9/5d7ee955-97e9-4dc0-ab2c-9e0c44c15226.jpg.webp?ect=4g,https://www.tokopedia.com/gdbb/air-jordan-1-retro-high-og-bred-toe-authentic-40-7d569?extParam=ivf%3Dfalse%26keyword%3Dair+jordan&src=topads,gdbb,Tangerang,Gudang Bubu Official,0
