no,name,price,asset_url,link
1,Ready Stock Onitsuka Tiger Japan Exclusive Original Authentic,Rp5.175.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/sjpremium/ready-stock-onitsuka-tiger-japan-exclusive-original-authentic?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
2,Sepatu Onitsuka Tiger Mexico 66 Balerina Black White,Rp1.499.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/onitsuka-official/sepatu-onitsuka-tiger-mexico-66-balerina-black-white-1730966531610806251?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
3,ONITSUKA TIGERR MEXICO66 ORIGINAL LEATHER/ ALL BLACK/AUTHENTIC 100%,Rp1.140.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/onitsukatigerindonesian/onitsuka-tigerr-mexico66-original-leather-all-black-authentic-100-43-5-b6d95?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
4,Srpatu Onitsuka Tiger Mexico 66 Balerina White Pink - 36,Rp1.499.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/onitsuka-official/srpatu-onitsuka-tiger-mexico-66-balerina-white-pink-1730966531800598507?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
5,Sepatu Onitsuka Tiger Moage Red Gradasi White - 36,Rp1.779.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/onitsuka-official/sepatu-onitsuka-tiger-moage-red-gradasi-white-1730988625873045483?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
6,Bantalan Insole Kaki Onitsuka Foam Size 34 35 36 37 37.5 38 39 40 40.5 41 42 42.5 43 44 44.5 45 45.5 - Dasar Putih logo,Rp59.900,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/senibersama/bantalan-insole-kaki-onitsuka-foam-size-34-35-36-37-37-5-38-39-40-40-5-41-42-42-5-43-44-44-5-45-45-5-dasar-putih-logo-1-gold-35-be42e?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300130120FD934C215FB76050XM6%26src%3Dsearch
7,Onitsuka Tiger Mexico 66 Birch/India Ink,Rp2.500.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/archive-hypebeast-018-16/onitsuka-tiger-mexico-66-birch-india-ink?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300130120FD934C215FB76050XM6%26src%3Dsearch
8,Onitsuka Tiger Mexico 66 SD Slip on Jastip Original Store,Rp2.050.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/archive-hypebeast-018-16/onitsuka-tiger-mexico-66-sd-slip-on-jastip-original-store-cream-5c1b3?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300130120FD934C215FB76050XM6%26src%3Dsearch
9,ONITSUKA DELEGATION Black/White ORIGINAL 100%,Rp999.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/wams-footwear/onitsuka-delegation-black-white-original-100-40-70d8f?extParam=ivf%3Dfalse%26keyword%3Donitsuka%26search_id%3D202504300130120FD934C215FB76050XM6%26src%3Dsearch
10,Onit Mexico 66 Slip On White Dark Blue 100% ORIGINAL GUARANTEE,Rp499.000,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,https://www.tokopedia.com/onitsukaauthentic/onit-mexico-66-slip-on-white-dark-blue-100-original-guarantee-36-88098?extParam=ivf%3Dfalse%26keyword%3Donitsuka&src=topads
